Fecha,Pedidos,Rechazados,Ventas,Pedidos con pago online,Pedidos con pago en efectivo,Pedidos con delivery,Pedidos con pickup,Ventas con pago online,Ventas en efectivo,Ventas con delivery,Ventas con pickup
2022-09-18,153,0,"311.576,00",91,62,153,0,"180.478,00","131.098,00","311.576,00","0,00"
2022-09-19,115,0,"208.895,00",65,50,115,0,"120.056,00","88.839,00","208.895,00","0,00"
2022-09-20,266,0,"376.043,00",177,89,266,0,"244.165,00","131.878,00","376.043,00","0,00"
2022-09-21,157,0,"290.391,00",103,54,157,0,"188.038,00","102.353,00","290.391,00","0,00"
2022-09-22,136,1,"255.540,00",99,37,136,0,"189.465,00","66.075,00","255.540,00","0,00"
2022-09-23,214,1,"432.672,00",144,70,214,0,"306.750,00","125.922,00","432.672,00","0,00"
2022-09-24,195,0,"395.566,00",119,76,195,0,"233.859,00","161.707,00","395.566,00","0,00"
2022-09-25,198,0,"421.272,00",136,62,198,0,"293.572,00","127.700,00","421.272,00","0,00"
2022-09-26,130,0,"253.402,00",86,44,130,0,"172.040,00","81.362,00","253.402,00","0,00"
2022-09-27,302,0,"463.865,00",188,114,302,0,"293.246,00","170.619,00","463.865,00","0,00"
2022-09-28,174,0,"294.501,00",110,64,174,0,"189.208,00","105.293,00","294.501,00","0,00"
2022-09-29,183,0,"322.452,00",116,67,183,0,"212.892,00","109.560,00","322.452,00","0,00"
2022-09-30,219,0,"400.979,00",151,68,219,0,"290.642,00","110.337,00","400.979,00","0,00"
2022-10-01,226,0,"436.243,00",132,94,226,0,"269.031,00","167.212,00","436.243,00","0,00"
2022-10-02,201,1,"415.237,00",132,69,201,0,"279.030,00","136.207,00","415.237,00","0,00"
2022-10-03,165,0,"307.507,00",111,54,165,0,"201.295,00","106.212,00","307.507,00","0,00"
2022-10-04,277,0,"434.146,00",195,82,277,0,"317.090,00","117.056,00","434.146,00","0,00"
2022-10-05,174,0,"348.349,00",129,45,174,0,"264.261,00","84.088,00","348.349,00","0,00"
2022-10-06,179,0,"356.372,00",127,52,179,0,"261.726,00","94.646,00","356.372,00","0,00"
2022-10-07,129,0,"249.742,00",86,43,129,0,"174.951,00","74.791,00","249.742,00","0,00"
2022-10-08,143,0,"285.579,00",93,50,143,0,"190.516,00","95.063,00","285.579,00","0,00"
2022-10-09,196,0,"451.354,00",116,80,196,0,"276.291,00","175.063,00","451.354,00","0,00"
2022-10-10,181,0,"404.246,00",121,60,181,0,"271.527,00","132.719,00","404.246,00","0,00"
2022-10-11,210,0,"313.194,00",136,74,210,0,"198.604,00","114.590,00","313.194,00","0,00"
2022-10-12,155,0,"275.019,00",110,45,155,0,"188.596,00","86.423,00","275.019,00","0,00"
2022-10-13,165,0,"321.776,00",115,50,165,0,"231.914,00","89.862,00","321.776,00","0,00"
2022-10-14,199,0,"439.150,00",136,63,199,0,"308.816,00","130.334,00","439.150,00","0,00"
2022-10-15,138,1,"289.177,00",82,56,138,0,"175.417,00","113.760,00","289.177,00","0,00"
2022-10-16,143,1,"292.894,00",97,46,143,0,"202.975,00","89.919,00","292.894,00","0,00"
2022-10-17,127,0,"247.888,00",84,43,127,0,"162.956,00","84.932,00","247.888,00","0,00"
2022-10-18,279,0,"423.798,00",195,84,279,0,"312.739,00","111.059,00","423.798,00","0,00"
2022-10-19,141,0,"256.792,00",105,36,141,0,"190.602,00","66.190,00","256.792,00","0,00"
2022-10-20,139,0,"263.617,00",94,45,139,0,"189.896,00","73.721,00","263.617,00","0,00"
2022-10-21,261,0,"472.507,00",183,78,261,0,"327.297,00","145.210,00","472.507,00","0,00"
2022-10-22,190,0,"422.117,00",112,78,190,0,"260.474,00","161.643,00","422.117,00","0,00"
2022-10-23,182,0,"386.625,00",117,65,182,0,"229.967,00","156.658,00","386.625,00","0,00"
2022-10-24,122,0,"227.744,00",74,48,122,0,"142.474,00","85.270,00","227.744,00","0,00"
2022-10-25,220,0,"328.971,00",130,90,220,0,"200.520,00","128.451,00","328.971,00","0,00"
2022-10-26,73,0,"124.218,00",52,21,73,0,"82.181,00","42.037,00","124.218,00","0,00"
2022-10-27,156,0,"309.178,00",105,51,156,0,"220.503,00","88.675,00","309.178,00","0,00"
2022-10-28,240,0,"499.308,00",161,79,240,0,"338.381,00","160.927,00","499.308,00","0,00"
2022-10-29,171,0,"365.046,00",103,68,171,0,"211.939,00","153.107,00","365.046,00","0,00"
2022-10-30,112,1,"260.306,00",67,45,112,0,"167.038,00","93.268,00","260.306,00","0,00"
